title,source
Shoppers Stop shares tumble over 12% after Q3 profit falls to Rs 16 crore,Economic Times
Tata Teleservices shares slide 6% in 2 days after Q3 results. Here’s why,Economic Times
United Spirits shares fall over 3% after Q3 earnings fail to cheer investors,Economic Times
"Amagi Media Labs shares list at 12% discount to IPO price on BSE, NSE",Economic Times
"HSBC, CLSA upgrade CreditAccess Grameen after strong Q3; stock zooms 10%. Check target price",Economic Times
From affordable housing to AIF incentives: real estate’s wishlist for Budget 2026,Economic Times
Budget 2026 bets! Axis picks 26 stocks to watch out for on February 1,Economic Times
"Sensex falls over 150 pts, Nifty tests 25,250 as selloff pressure, FII outflows weigh on sentiment",Economic Times
"Gold prices jump Rs 3,300/10 gm to fresh record high; silver eyes Rs 3.3 lakh mark. Time to buy or wait?",Economic Times
Shadowfax Technologies IPO Day 2: GMP falls to 3%; subscription and key updates. Should you invest?,Economic Times
Rupee slips to record low of 91.29 as Greenland dispute stokes risk aversion,Economic Times
Oberoi Realty among 5 F&amp;O stocks with sharp rise in futures open interest,Economic Times
"Ceat, Newgen Software among 5 stocks that closed below VWAP",Economic Times
"Sensex, Nifty gain for third day in a row; easing volatility to support bull trend",Moneycontrol
"Gold price today January 21: Gold rates up in Mumbai, Delhi, Chennai, Kolkata, Ahmedabad and Bengaluru",The Hindu BusinessLine
Reliance tumbles into deepest oversold level in years,The Hindu BusinessLine
Rupee sinks to a new low of 91.33 per US Dollar in intraday trades so far,The Hindu BusinessLine
"Q3 Results Today Live: KPI Green Energy & Mastek Q3 profit up, Eternal, Dr Reddy’s, KEI Industries, Tata Communications, Dalmia Bharat, HPCL, Jindal Stainless, PNB Housing Finance, Waaree Energies, Supreme Industries to announce Q3 results, CreditAccess shares rally",The Hindu BusinessLine
Wall Street sees biggest drop in three months as Trump tariff fears return,The Hindu BusinessLine
"Jio BlackRock unveils 2026 roadmap with new fund, setting up entity at Gift city",The Hindu BusinessLine
"Gold, silver soar to new highs globally and in India",The Hindu BusinessLine
